# phi_mrg_22 logL logPrior
3.387162412088847940e+00 -5.739188311642463505e+07 0.000000000000000000e+00
3.388093532899877580e+00 -5.693463426941245794e+07 0.000000000000000000e+00
3.845529508346828607e+00 -5.472050738563276827e+07 0.000000000000000000e+00
3.836796199852795741e+00 -5.060294987958969921e+07 0.000000000000000000e+00
3.818979637655520953e+00 -4.269750903647708893e+07 0.000000000000000000e+00
3.798626011287287163e+00 -3.448143759894288331e+07 0.000000000000000000e+00
3.455993732149017283e+00 -2.848383444673943147e+07 0.000000000000000000e+00
3.782161442120065775e+00 -2.847347835924348608e+07 0.000000000000000000e+00
3.777034809526061743e+00 -2.671958665096666291e+07 0.000000000000000000e+00
3.474243600382308284e+00 -2.249240742739653587e+07 0.000000000000000000e+00
3.475370075535016756e+00 -2.214568344827352464e+07 0.000000000000000000e+00
3.754593662916120955e+00 -1.969665896497900784e+07 0.000000000000000000e+00
3.752302652495574264e+00 -1.903972356808832288e+07 0.000000000000000000e+00
3.487683055239364727e+00 -1.853118784573240578e+07 0.000000000000000000e+00
3.748621561521042533e+00 -1.800751266414095461e+07 0.000000000000000000e+00
3.742332703664088989e+00 -1.631061489492798597e+07 0.000000000000000000e+00
3.495877806678709288e+00 -1.630389489293332957e+07 0.000000000000000000e+00
3.498142282164698358e+00 -1.571357355267125368e+07 0.000000000000000000e+00
3.507037827459342338e+00 -1.350012041008910909e+07 0.000000000000000000e+00
3.725404404803528635e+00 -1.216057179418106377e+07 0.000000000000000000e+00
3.724568379102226601e+00 -1.197141336333310977e+07 0.000000000000000000e+00
3.723683415133167696e+00 -1.177280327210495993e+07 0.000000000000000000e+00
3.514958153373651140e+00 -1.167098229543090053e+07 0.000000000000000000e+00
3.515564943198544956e+00 -1.153635549876588583e+07 0.000000000000000000e+00
3.722226444511608445e+00 -1.144945147586262599e+07 0.000000000000000000e+00
3.525178016934734870e+00 -9.508151683653336018e+06 0.000000000000000000e+00
3.708056560858031592e+00 -8.540511934331409633e+06 0.000000000000000000e+00
3.707798327050166876e+00 -8.491469421241639182e+06 0.000000000000000000e+00
3.705872777254894945e+00 -8.130261576351320371e+06 0.000000000000000000e+00
3.702246664200878890e+00 -7.471517101577447727e+06 0.000000000000000000e+00
3.701387349913440428e+00 -7.319519087246820331e+06 0.000000000000000000e+00
3.545304614836796819e+00 -5.899788824899008498e+06 0.000000000000000000e+00
3.547283726225870293e+00 -5.591643978050343692e+06 0.000000000000000000e+00
3.685273468808141661e+00 -4.761113681759028696e+06 0.000000000000000000e+00
3.684153667808310662e+00 -4.603925615858705714e+06 0.000000000000000000e+00
3.682153424863786828e+00 -4.329814404895091429e+06 0.000000000000000000e+00
3.680953293916338964e+00 -4.169452457837269641e+06 0.000000000000000000e+00
3.677946564170705201e+00 -3.781205173221084289e+06 0.000000000000000000e+00
3.677546116392979236e+00 -3.730954662160335109e+06 0.000000000000000000e+00
3.675970169671451071e+00 -3.536523847888426855e+06 0.000000000000000000e+00
3.675640625974193831e+00 -3.496537733171707951e+06 0.000000000000000000e+00
3.673696555575369338e+00 -3.265371966800858732e+06 0.000000000000000000e+00
3.566577860179131587e+00 -3.025927074765530881e+06 0.000000000000000000e+00
3.669839367405417718e+00 -2.830636322701842524e+06 0.000000000000000000e+00
3.568823449200711817e+00 -2.778993486521847546e+06 0.000000000000000000e+00
3.669246706371210198e+00 -2.766657665573746897e+06 0.000000000000000000e+00
