# phi_mrg_22 logL logPrior
3.572748553723179565e+00 -2.174373317515198432e+05 0.000000000000000000e+00
3.572761622360054012e+00 -2.174360023005864059e+05 0.000000000000000000e+00
3.572764864242607974e+00 -2.174357292529091355e+05 0.000000000000000000e+00
3.572767808729385486e+00 -2.174355008012136095e+05 0.000000000000000000e+00
3.572768540014272354e+00 -2.174354469481745618e+05 0.000000000000000000e+00
3.572834528489769568e+00 -2.174353121570023359e+05 0.000000000000000000e+00
3.572831486632133124e+00 -2.174351128931182902e+05 0.000000000000000000e+00
3.572829024672849130e+00 -2.174349661579201347e+05 0.000000000000000000e+00
3.572828741101385486e+00 -2.174349500922744919e+05 0.000000000000000000e+00
3.572827991704756734e+00 -2.174349084661640227e+05 0.000000000000000000e+00
3.572827376743188399e+00 -2.174348752077945101e+05 0.000000000000000000e+00
3.572778332404350721e+00 -2.174348364084076020e+05 0.000000000000000000e+00
3.572778737320885689e+00 -2.174348155935304530e+05 0.000000000000000000e+00
3.572825964179774161e+00 -2.174348018869578955e+05 0.000000000000000000e+00
3.572825603618261514e+00 -2.174347838576436625e+05 0.000000000000000000e+00
3.572781092544712767e+00 -2.174347014985800488e+05 0.000000000000000000e+00
3.572782152214185825e+00 -2.174346540479280811e+05 0.000000000000000000e+00
3.572782176892362660e+00 -2.174346529715879005e+05 0.000000000000000000e+00
3.572782944868162502e+00 -2.174346201295163482e+05 0.000000000000000000e+00
3.572821685071791098e+00 -2.174346059109927737e+05 0.000000000000000000e+00
3.572783494931920156e+00 -2.174345973843603279e+05 0.000000000000000000e+00
3.572784750701071488e+00 -2.174345478918134468e+05 0.000000000000000000e+00
3.572819268502915424e+00 -2.174345126000550226e+05 0.000000000000000000e+00
3.572819065639892155e+00 -2.174345053371564718e+05 0.000000000000000000e+00
3.572786466484776380e+00 -2.174344857405083603e+05 0.000000000000000000e+00
3.572786670715154322e+00 -2.174344787634161476e+05 0.000000000000000000e+00
3.572818051431813302e+00 -2.174344703511209809e+05 0.000000000000000000e+00
3.572818027472607572e+00 -2.174344695513161714e+05 0.000000000000000000e+00
3.572787760671523927e+00 -2.174344430411687354e+05 0.000000000000000000e+00
3.572787967571305678e+00 -2.174344365481728455e+05 0.000000000000000000e+00
3.572790720677618825e+00 -2.174343588944778603e+05 0.000000000000000000e+00
3.572814057220003559e+00 -2.174343540347749949e+05 0.000000000000000000e+00
3.572813555623768345e+00 -2.174343418476697989e+05 0.000000000000000000e+00
3.572792337453998268e+00 -2.174343208737303212e+05 0.000000000000000000e+00
3.572812603570975298e+00 -2.174343202011500834e+05 0.000000000000000000e+00
3.572792975058419529e+00 -2.174343074220962881e+05 0.000000000000000000e+00
3.572793038886294958e+00 -2.174343061235557543e+05 0.000000000000000000e+00
3.572811571723907953e+00 -2.174342989371558069e+05 0.000000000000000000e+00
3.572809519333310480e+00 -2.174342634350936278e+05 0.000000000000000000e+00
3.572795499211706360e+00 -2.174342627340644249e+05 0.000000000000000000e+00
3.572809001212643221e+00 -2.174342559019254404e+05 0.000000000000000000e+00
3.572797036831276696e+00 -2.174342422139855043e+05 0.000000000000000000e+00
3.572807613136164573e+00 -2.174342385595522355e+05 0.000000000000000000e+00
3.572806202525196539e+00 -2.174342251722104265e+05 0.000000000000000000e+00
3.572798924135525134e+00 -2.174342239638228202e+05 0.000000000000000000e+00
3.572799407809853278e+00 -2.174342205173555994e+05 0.000000000000000000e+00
3.572799835575549032e+00 -2.174342178876657563e+05 0.000000000000000000e+00
3.572800437666152629e+00 -2.174342148517300666e+05 0.000000000000000000e+00
3.572800477880011538e+00 -2.174342146766771912e+05 0.000000000000000000e+00
3.572800612474461346e+00 -2.174342141160276660e+05 0.000000000000000000e+00
3.572803648502430818e+00 -2.174342117996353772e+05 0.000000000000000000e+00
3.572801418176417609e+00 -2.174342115729123470e+05 0.000000000000000000e+00
3.572803144679884912e+00 -2.174342108149522101e+05 0.000000000000000000e+00
3.572801923963687454e+00 -2.174342106882904191e+05 0.000000000000000000e+00
3.572802083898413805e+00 -2.174342105228196015e+05 0.000000000000000000e+00
