# phi_mrg_22 logL logPrior
3.572790752522509994e+00 -2.174343580914380727e+05 0.000000000000000000e+00
3.572808967366895239e+00 -2.174342554298737668e+05 0.000000000000000000e+00
3.572803422349193347e+00 -2.174342112902473309e+05 0.000000000000000000e+00
3.575713016712013914e+00 -2.265248970319890941e+05 0.000000000000000000e+00
3.572802444098257091e+00 -2.174342103512139875e+05 0.000000000000000000e+00
3.572798494417043891e+00 -2.174342274470265838e+05 0.000000000000000000e+00
3.536959662594400644e+00 -1.595946191669018008e+06 0.000000000000000000e+00
3.572675345911529021e+00 -2.174515570732429042e+05 0.000000000000000000e+00
3.572990163440839417e+00 -2.174720090502799721e+05 0.000000000000000000e+00
3.573049282130067450e+00 -2.174995729601908242e+05 0.000000000000000000e+00
3.572836576872918446e+00 -2.174354575303330785e+05 0.000000000000000000e+00
3.573265361338731516e+00 -2.176641324615078629e+05 0.000000000000000000e+00
3.572768967928718009e+00 -2.174354159681534511e+05 0.000000000000000000e+00
3.572825964179774161e+00 -2.174348018869578955e+05 0.000000000000000000e+00
3.572739961408148979e+00 -2.174384055622316664e+05 0.000000000000000000e+00
3.572782241607234788e+00 -2.174346501552514674e+05 0.000000000000000000e+00
3.542983384961941429e+00 -1.171568553231414407e+06 0.000000000000000000e+00
3.572899487981407773e+00 -2.174443078536386311e+05 0.000000000000000000e+00
3.572827991704756734e+00 -2.174349084661640227e+05 0.000000000000000000e+00
3.576681362302489120e+00 -2.335801727798857610e+05 0.000000000000000000e+00
3.572815916299073358e+00 -2.174344039137715881e+05 0.000000000000000000e+00
3.580885217640171536e+00 -2.875420482875589514e+05 0.000000000000000000e+00
3.574006513334196722e+00 -2.189899082821400079e+05 0.000000000000000000e+00
3.572731950729016059e+00 -2.174395494116696063e+05 0.000000000000000000e+00
3.572802757803934082e+00 -2.174342104286286631e+05 0.000000000000000000e+00
3.585035747633870340e+00 -3.780291032838072279e+05 0.000000000000000000e+00
3.575031085091333605e+00 -2.227640770113860490e+05 0.000000000000000000e+00
3.579702610583890277e+00 -2.685276052738638246e+05 0.000000000000000000e+00
3.572886217796422681e+00 -2.174417340877715906e+05 0.000000000000000000e+00
3.572818027472607572e+00 -2.174344695513161714e+05 0.000000000000000000e+00
3.572748553723179565e+00 -2.174373317515198432e+05 0.000000000000000000e+00
3.572852153924258367e+00 -2.174368576609561569e+05 0.000000000000000000e+00
3.572916996654264210e+00 -2.174482819853974506e+05 0.000000000000000000e+00
3.573049282130067450e+00 -2.174995729601908242e+05 0.000000000000000000e+00
3.571775342453324509e+00 -2.185663886870911811e+05 0.000000000000000000e+00
3.574147185350920797e+00 -2.193746625859673368e+05 0.000000000000000000e+00
3.573071464846250933e+00 -2.175118509605926811e+05 0.000000000000000000e+00
3.639251581303561967e+00 -4.954080490674750879e+06 0.000000000000000000e+00
3.572810851630144224e+00 -2.174342854515049257e+05 0.000000000000000000e+00
3.572881793964833186e+00 -2.174409600808133255e+05 0.000000000000000000e+00
3.572795359309683505e+00 -2.174342648529584403e+05 0.000000000000000000e+00
3.572758148966437730e+00 -2.174363198778450605e+05 0.000000000000000000e+00
3.572802238156310928e+00 -2.174342104152364191e+05 0.000000000000000000e+00
3.572771156848066898e+00 -2.174352636423648219e+05 0.000000000000000000e+00
3.583829002982691136e+00 -3.479084934741182951e+05 0.000000000000000000e+00
3.572829718197859883e+00 -2.174350061765487480e+05 0.000000000000000000e+00
3.572826360433660309e+00 -2.174348220228338614e+05 0.000000000000000000e+00
3.502174769050567793e+00 -5.568279724794093519e+06 0.000000000000000000e+00
3.572807363590241536e+00 -2.174342358803196985e+05 0.000000000000000000e+00
3.563543695890830865e+00 -3.094278897965771030e+05 0.000000000000000000e+00
3.573450568777956526e+00 -2.178849373711830121e+05 0.000000000000000000e+00
3.572801500754595683e+00 -2.174342113909773761e+05 0.000000000000000000e+00
3.572752937149804353e+00 -2.174368449775991030e+05 0.000000000000000000e+00
3.572671091524090681e+00 -2.174527374161196640e+05 0.000000000000000000e+00
3.572806354785112770e+00 -2.174342264116176520e+05 0.000000000000000000e+00
3.572672556840071234e+00 -2.174523264911722508e+05 0.000000000000000000e+00
3.565957480822063097e+00 -2.677145820384236285e+05 0.000000000000000000e+00
3.568885366565250017e+00 -2.339001182800160022e+05 0.000000000000000000e+00
3.572810821377965240e+00 -2.174342849093109253e+05 0.000000000000000000e+00
3.815562403644828571e+00 -6.314960274996653944e+07 0.000000000000000000e+00
3.572752007027852006e+00 -2.174369448195596342e+05 0.000000000000000000e+00
3.572815848165852959e+00 -2.174344019548120559e+05 0.000000000000000000e+00
3.572810755644761471e+00 -2.174342837379838456e+05 0.000000000000000000e+00
3.572776708776839172e+00 -2.174349234060088638e+05 0.000000000000000000e+00
3.572805565114736570e+00 -2.174342205237904564e+05 0.000000000000000000e+00
3.570897311725609313e+00 -2.213293397581822064e+05 0.000000000000000000e+00
3.572809747602888386e+00 -2.174342669368372299e+05 0.000000000000000000e+00
3.571892983056319526e+00 -2.183218992322080885e+05 0.000000000000000000e+00
3.572792337453998268e+00 -2.174343208737303212e+05 0.000000000000000000e+00
3.573264001860332328e+00 -2.176627838690177014e+05 0.000000000000000000e+00
3.728027834976169963e+00 -2.602254376827914268e+07 0.000000000000000000e+00
3.578620945672561060e+00 -2.537643821790150250e+05 0.000000000000000000e+00
3.572789057462764983e+00 -2.174344038615717727e+05 0.000000000000000000e+00
3.572803886411603624e+00 -2.174342124539786601e+05 0.000000000000000000e+00
3.573779374320332991e+00 -2.184583105189419002e+05 0.000000000000000000e+00
3.574091437976469443e+00 -2.192171064959682408e+05 0.000000000000000000e+00
3.582921695443932020e+00 -3.273201388700850075e+05 0.000000000000000000e+00
3.571991201584686859e+00 -2.181405260052840458e+05 0.000000000000000000e+00
3.573143287377078536e+00 -2.175588497513412731e+05 0.000000000000000000e+00
3.564556532878560002e+00 -2.904021151079430128e+05 0.000000000000000000e+00
3.788887662687727698e+00 -5.013024651641336828e+07 0.000000000000000000e+00
3.572726165033336176e+00 -2.174404612134903437e+05 0.000000000000000000e+00
3.743792425934397983e+00 -3.151678542728857696e+07 0.000000000000000000e+00
3.619051712508415619e+00 -2.512441928172245622e+06 0.000000000000000000e+00
3.573565276651972766e+00 -2.180586110007547541e+05 0.000000000000000000e+00
3.587646104697610472e+00 -4.538759918707953184e+05 0.000000000000000000e+00
3.572866077332971901e+00 -2.174385499404233415e+05 0.000000000000000000e+00
