phi	logL
6.97301570921076363518e-01       -3.987458e+03
6.76766532867941639218e-01       -3.985224e+03
6.96706577494062617717e-01       -3.983944e+03
6.77123734145707700804e-01       -3.983167e+03
6.96241181234672601441e-01       -3.981338e+03
6.77481255749260657950e-01       -3.981183e+03
6.77686441494501634608e-01       -3.980077e+03
6.95814323629396880300e-01       -3.979059e+03
6.95792641320249427572e-01       -3.978946e+03
6.95754149777251695852e-01       -3.978746e+03
6.78388937346105058701e-01       -3.976478e+03
6.95089929688920915574e-01       -3.975433e+03
6.94795319659488930242e-01       -3.974046e+03
6.94646110422498019865e-01       -3.973363e+03
6.79094338202778646796e-01       -3.973153e+03
6.79131725042035894191e-01       -3.972985e+03
6.94543056973517924924e-01       -3.972898e+03
6.79692179070973123700e-01       -3.970561e+03
6.79750036595342832513e-01       -3.970321e+03
6.93805863952306145492e-01       -3.969757e+03
6.80047813460767924809e-01       -3.969118e+03
6.93629339858501392513e-01       -3.969051e+03
6.92969202940773576493e-01       -3.966574e+03
6.80828377323070110805e-01       -3.966209e+03
6.92565296866736068715e-01       -3.965184e+03
6.92492846216648527680e-01       -3.964944e+03
6.81382902641306853475e-01       -3.964357e+03
6.92148068693118845296e-01       -3.963847e+03
6.81725534174081770900e-01       -3.963302e+03
6.81786938798316199950e-01       -3.963120e+03
6.81798814290165755558e-01       -3.963086e+03
6.91778833682396787630e-01       -3.962748e+03
6.81982555594942252419e-01       -3.962556e+03
6.91446540809731113875e-01       -3.961827e+03
6.82409842880314032598e-01       -3.961400e+03
6.90797712878361114264e-01       -3.960214e+03
6.83015936719485239337e-01       -3.959943e+03
6.90053457398308811577e-01       -3.958665e+03
6.83655147445576316656e-01       -3.958637e+03
6.89885864494599765351e-01       -3.958360e+03
6.83859321028174371726e-01       -3.958270e+03
6.83997170555242117729e-01       -3.958036e+03
6.89481010018873408107e-01       -3.957692e+03
6.89468642408662346632e-01       -3.957673e+03
6.84397356131580036909e-01       -3.957420e+03
6.89284058755247897032e-01       -3.957402e+03
6.84503393056673181682e-01       -3.957272e+03
6.84514466518922337634e-01       -3.957257e+03
6.84593554686390159958e-01       -3.957151e+03
6.84653221692643421115e-01       -3.957074e+03
6.84684021307771062403e-01       -3.957035e+03
6.88904678081962540404e-01       -3.956906e+03
6.88704730023212641221e-01       -3.956678e+03
6.88597217365418345913e-01       -3.956566e+03
6.85110211208303065966e-01       -3.956552e+03
6.88516377666776535627e-01       -3.956485e+03
