# phi logL logPrior
6.881049072743352646e-01 -3.956134855579123723e+03 0.000000000000000000e+00
6.866132860706417596e-01 -3.955690600854794866e+03 0.000000000000000000e+00
7.336885143011381283e-01 -4.593610344679937043e+03 0.000000000000000000e+00
6.863470359038628121e-01 -3.955747406809003223e+03 0.000000000000000000e+00
6.859724140571747952e-01 -3.955897151083666813e+03 0.000000000000000000e+00
8.952931035991018582e-01 -1.654518845594397862e+04 0.000000000000000000e+00
6.381121777943865592e-01 -4.646212346793847246e+03 0.000000000000000000e+00
6.877319593737117875e-01 -3.955902455465354251e+03 0.000000000000000000e+00
