# phi logL logPrior
6.929692029407735765e-01 -3.966574254139903132e+03 0.000000000000000000e+00
6.808283773230701108e-01 -3.966208584623762363e+03 0.000000000000000000e+00
6.925652968667360687e-01 -3.965183526426943899e+03 0.000000000000000000e+00
6.924928462166485277e-01 -3.964944100673946195e+03 0.000000000000000000e+00
6.813829026413068535e-01 -3.964356936341744586e+03 0.000000000000000000e+00
6.921480686931188453e-01 -3.963846554685154842e+03 0.000000000000000000e+00
6.817255341740817709e-01 -3.963302224015036245e+03 0.000000000000000000e+00
6.817869387983162000e-01 -3.963120418570350012e+03 0.000000000000000000e+00
6.817988142901657556e-01 -3.963085510940232780e+03 0.000000000000000000e+00
6.917788336823967876e-01 -3.962747817056496388e+03 0.000000000000000000e+00
6.819825555949422524e-01 -3.962555861288759843e+03 0.000000000000000000e+00
6.914465408097311139e-01 -3.961826797009170150e+03 0.000000000000000000e+00
6.824098428803140326e-01 -3.961400092603204030e+03 0.000000000000000000e+00
6.907977128783611143e-01 -3.960213548242290926e+03 0.000000000000000000e+00
6.830159367194852393e-01 -3.959942804223594976e+03 0.000000000000000000e+00
6.900534573983088116e-01 -3.958664530039122837e+03 0.000000000000000000e+00
6.836551474455763167e-01 -3.958637368443659398e+03 0.000000000000000000e+00
6.898858644945997654e-01 -3.958360158700344982e+03 0.000000000000000000e+00
6.838593210281743717e-01 -3.958270467050468142e+03 0.000000000000000000e+00
6.839971705552421177e-01 -3.958036460959387114e+03 0.000000000000000000e+00
6.894810100188734081e-01 -3.957692283224106177e+03 0.000000000000000000e+00
6.894686424086623466e-01 -3.957673381307401542e+03 0.000000000000000000e+00
6.843973561315800369e-01 -3.957419740068920419e+03 0.000000000000000000e+00
6.892840587552478970e-01 -3.957401846382575968e+03 0.000000000000000000e+00
6.845033930566731817e-01 -3.957271937510346106e+03 0.000000000000000000e+00
6.845144665189223376e-01 -3.957256879566207772e+03 0.000000000000000000e+00
6.845935546863901600e-01 -3.957151407296941670e+03 0.000000000000000000e+00
6.846532216926434211e-01 -3.957074242717505513e+03 0.000000000000000000e+00
6.846840213077710624e-01 -3.957035221264831307e+03 0.000000000000000000e+00
6.889046780819625404e-01 -3.956905970565472671e+03 0.000000000000000000e+00
6.887047300232126412e-01 -3.956678310069289182e+03 0.000000000000000000e+00
6.885972173654183459e-01 -3.956565508998271980e+03 0.000000000000000000e+00
6.851102112083030660e-01 -3.956551898982604143e+03 0.000000000000000000e+00
6.885163776667765356e-01 -3.956485120711742638e+03 0.000000000000000000e+00
6.852613810303719299e-01 -3.956405845070851683e+03 0.000000000000000000e+00
6.852959998741136038e-01 -3.956374268164902787e+03 0.000000000000000000e+00
6.882873485778400191e-01 -3.956278008282189148e+03 0.000000000000000000e+00
6.882774883106624886e-01 -3.956269776563729920e+03 0.000000000000000000e+00
6.882276107443923152e-01 -3.956229003373338401e+03 0.000000000000000000e+00
6.854854469804351202e-01 -3.956213811720809190e+03 0.000000000000000000e+00
6.881612396002787513e-01 -3.956176990934932292e+03 0.000000000000000000e+00
6.855555141436724398e-01 -3.956159754513868393e+03 0.000000000000000000e+00
6.855671952168369554e-01 -3.956151020187620816e+03 0.000000000000000000e+00
6.880928370154379969e-01 -3.956126067382796464e+03 0.000000000000000000e+00
6.880743305435230717e-01 -3.956112757618787782e+03 0.000000000000000000e+00
6.880280159075159441e-01 -3.956080321388670200e+03 0.000000000000000000e+00
6.879544776124113525e-01 -3.956031382247248530e+03 0.000000000000000000e+00
6.879430150944670919e-01 -3.956024037367236815e+03 0.000000000000000000e+00
6.878878810255901755e-01 -3.955989776647822509e+03 0.000000000000000000e+00
6.878116059015926265e-01 -3.955945293480680448e+03 0.000000000000000000e+00
6.859399531045442533e-01 -3.955913969129577708e+03 0.000000000000000000e+00
6.859576167180059247e-01 -3.955904741589423793e+03 0.000000000000000000e+00
6.877237438996838259e-01 -3.955898246666740761e+03 0.000000000000000000e+00
6.877067996050730825e-01 -3.955889690053606500e+03 0.000000000000000000e+00
6.876532616934720732e-01 -3.955863751540887279e+03 0.000000000000000000e+00
6.876376369121863785e-01 -3.955856495764588544e+03 0.000000000000000000e+00
6.860720670353303019e-01 -3.955849349335024272e+03 0.000000000000000000e+00
6.861055826696526028e-01 -3.955834570392817568e+03 0.000000000000000000e+00
6.861298512180253883e-01 -3.955824276814668337e+03 0.000000000000000000e+00
6.875334408892168625e-01 -3.955811740207449020e+03 0.000000000000000000e+00
6.875055939515656300e-01 -3.955800848317549026e+03 0.000000000000000000e+00
6.861899425570110456e-01 -3.955800263043519408e+03 0.000000000000000000e+00
6.874760218309016180e-01 -3.955789775428907888e+03 0.000000000000000000e+00
6.874651897174879345e-01 -3.955785846760077220e+03 0.000000000000000000e+00
6.874296526885670389e-01 -3.955773437121223651e+03 0.000000000000000000e+00
6.862668585048770087e-01 -3.955772590265959479e+03 0.000000000000000000e+00
6.874181557062686299e-01 -3.955769579589817567e+03 0.000000000000000000e+00
6.863103955894301889e-01 -3.955758451523291114e+03 0.000000000000000000e+00
6.863268959874326836e-01 -3.955753381069625448e+03 0.000000000000000000e+00
6.863316588827935716e-01 -3.955751946916851921e+03 0.000000000000000000e+00
6.863385832834433264e-01 -3.955749885448147779e+03 0.000000000000000000e+00
6.873530987697034078e-01 -3.955749199614554527e+03 0.000000000000000000e+00
6.863470359038628121e-01 -3.955747406809003223e+03 0.000000000000000000e+00
6.863668186943235883e-01 -3.955741768154223791e+03 0.000000000000000000e+00
6.873215029273571641e-01 -3.955740189837377329e+03 0.000000000000000000e+00
6.864034783863068867e-01 -3.955731920818119761e+03 0.000000000000000000e+00
6.864084520247503152e-01 -3.955730645040893251e+03 0.000000000000000000e+00
6.872763782666213572e-01 -3.955728328968056303e+03 0.000000000000000000e+00
6.872754847013881063e-01 -3.955728106055138596e+03 0.000000000000000000e+00
6.872552260585170769e-01 -3.955723176852579854e+03 0.000000000000000000e+00
6.864410111679408732e-01 -3.955722648733463757e+03 0.000000000000000000e+00
6.864520967194919221e-01 -3.955720066892739851e+03 0.000000000000000000e+00
6.864823459823542473e-01 -3.955713385397545608e+03 0.000000000000000000e+00
6.865010689189695592e-01 -3.955709516487303517e+03 0.000000000000000000e+00
6.871855604391486905e-01 -3.955708048016997054e+03 0.000000000000000000e+00
6.871772432111048490e-01 -3.955706430431173430e+03 0.000000000000000000e+00
6.871751398746550610e-01 -3.955706027735066527e+03 0.000000000000000000e+00
6.871745827775173066e-01 -3.955705921506553295e+03 0.000000000000000000e+00
6.871680752185156393e-01 -3.955704693999930896e+03 0.000000000000000000e+00
6.865314267159985384e-01 -3.955703676634976546e+03 0.000000000000000000e+00
6.871539937392309172e-01 -3.955702122151234107e+03 0.000000000000000000e+00
6.871451349526744856e-01 -3.955700563275091554e+03 0.000000000000000000e+00
6.871339414992561068e-01 -3.955698658839984546e+03 0.000000000000000000e+00
6.871335412654249186e-01 -3.955698592094250671e+03 0.000000000000000000e+00
6.871192997467967523e-01 -3.955696277718864621e+03 0.000000000000000000e+00
6.870990882496587071e-01 -3.955693195665807252e+03 0.000000000000000000e+00
6.870873359637563738e-01 -3.955691512796957340e+03 0.000000000000000000e+00
6.866113961892621465e-01 -3.955690858785018463e+03 0.000000000000000000e+00
6.866158860993857305e-01 -3.955690249398724518e+03 0.000000000000000000e+00
6.866198449913851753e-01 -3.955689721810719675e+03 0.000000000000000000e+00
6.870730845689484445e-01 -3.955689579835371205e+03 0.000000000000000000e+00
6.870720427968236566e-01 -3.955689443169561400e+03 0.000000000000000000e+00
6.870583630628648297e-01 -3.955687707144522392e+03 0.000000000000000000e+00
6.870572623103018417e-01 -3.955687572184867349e+03 0.000000000000000000e+00
6.866410477226124742e-01 -3.955687051335599790e+03 0.000000000000000000e+00
6.870517363885325635e-01 -3.955686905318394565e+03 0.000000000000000000e+00
6.870471173153965827e-01 -3.955686361517154182e+03 0.000000000000000000e+00
6.870458134357740887e-01 -3.955686210257835228e+03 0.000000000000000000e+00
6.866500307321026231e-01 -3.955685998782308161e+03 0.000000000000000000e+00
6.870385695360318179e-01 -3.955685387920014819e+03 0.000000000000000000e+00
6.870382034956783457e-01 -3.955685347176626237e+03 0.000000000000000000e+00
6.870316901378011876e-01 -3.955684635214995524e+03 0.000000000000000000e+00
6.866674614795061915e-01 -3.955684090282020861e+03 0.000000000000000000e+00
6.870217394326207927e-01 -3.955683595165550287e+03 0.000000000000000000e+00
6.866761873877192945e-01 -3.955683201250816637e+03 0.000000000000000000e+00
6.866774030111473248e-01 -3.955683080912500373e+03 0.000000000000000000e+00
6.870105140781076480e-01 -3.955682491015257256e+03 0.000000000000000000e+00
6.866843101801791693e-01 -3.955682413465969148e+03 0.000000000000000000e+00
6.866898515144129744e-01 -3.955681898061175161e+03 0.000000000000000000e+00
6.866933764139515617e-01 -3.955681579500153930e+03 0.000000000000000000e+00
6.866960037962691610e-01 -3.955681346752411628e+03 0.000000000000000000e+00
6.866960488122250128e-01 -3.955681342799638514e+03 0.000000000000000000e+00
6.867007737953320090e-01 -3.955680934461106517e+03 0.000000000000000000e+00
6.869918886581581896e-01 -3.955680820658370067e+03 0.000000000000000000e+00
6.867134634298229789e-01 -3.955679902070630305e+03 0.000000000000000000e+00
6.867188400252329794e-01 -3.955679492893824317e+03 0.000000000000000000e+00
6.869696219251140157e-01 -3.955679088526340820e+03 0.000000000000000000e+00
6.869676124451573607e-01 -3.955678946394604282e+03 0.000000000000000000e+00
6.867265771881926328e-01 -3.955678933575480187e+03 0.000000000000000000e+00
6.869610398015325581e-01 -3.955678497910771512e+03 0.000000000000000000e+00
6.867356752362180350e-01 -3.955678320420102864e+03 0.000000000000000000e+00
6.869507689328371303e-01 -3.955677847386518806e+03 0.000000000000000000e+00
6.869477055123600628e-01 -3.955677665237938982e+03 0.000000000000000000e+00
6.869405978011742242e-01 -3.955677263641938225e+03 0.000000000000000000e+00
6.867720762787651312e-01 -3.955676348829329072e+03 0.000000000000000000e+00
6.867774624834014352e-01 -3.955676122547884916e+03 0.000000000000000000e+00
6.867949190379751823e-01 -3.955675505133612660e+03 0.000000000000000000e+00
6.868049872279599066e-01 -3.955675229623391260e+03 0.000000000000000000e+00
6.868049883335870520e-01 -3.955675229596372446e+03 0.000000000000000000e+00
6.868851928745350888e-01 -3.955675140371496127e+03 0.000000000000000000e+00
6.868796992430417081e-01 -3.955675027128690090e+03 0.000000000000000000e+00
6.868169747788773760e-01 -3.955674978476842625e+03 0.000000000000000000e+00
6.868666005331288682e-01 -3.955674827939023999e+03 0.000000000000000000e+00
6.868321158554806516e-01 -3.955674780710041432e+03 0.000000000000000000e+00
