# phi_mrg_33 logL logPrior
3.982999265906617570e+00 -3.011972710986155085e+06 0.000000000000000000e+00
3.259396428090802544e+00 -3.011827710358805023e+06 0.000000000000000000e+00
2.942192273660345858e+00 -3.011863810389067978e+06 0.000000000000000000e+00
3.295871887696541602e+00 -3.011827529656313825e+06 0.000000000000000000e+00
3.124321701318482525e+00 -3.011835567924235482e+06 0.000000000000000000e+00
3.235828631511374898e+00 -3.011828267027989961e+06 0.000000000000000000e+00
3.218963971872039753e+00 -3.011828877167819999e+06 0.000000000000000000e+00
3.333113466741595587e+00 -3.011828198735885322e+06 0.000000000000000000e+00
4.647119556136093621e+00 -3.012320229096002877e+06 0.000000000000000000e+00
3.248766451242991682e+00 -3.011827918701130897e+06 0.000000000000000000e+00
2.640738515769103234e+00 -3.011952393515102565e+06 0.000000000000000000e+00
3.548417240705283859e+00 -3.011848853147875518e+06 0.000000000000000000e+00
3.202995763118485772e+00 -3.011829617549703456e+06 0.000000000000000000e+00
3.319384182063665811e+00 -3.011827851742566563e+06 0.000000000000000000e+00
3.278777130001838902e+00 -3.011827511323619168e+06 0.000000000000000000e+00
3.284982564917405590e+00 -3.011827496965314262e+06 0.000000000000000000e+00
3.283213907725829106e+00 -3.011827498617462814e+06 0.000000000000000000e+00
3.299954902401514456e+00 -3.011827560923668556e+06 0.000000000000000000e+00
3.282650145227409944e+00 -3.011827499552992173e+06 0.000000000000000000e+00
3.565164417943960107e+00 -3.011851643281646073e+06 0.000000000000000000e+00
3.034461668371938980e+00 -3.011847007107217796e+06 0.000000000000000000e+00
3.213473806909051156e+00 -3.011829113884566817e+06 0.000000000000000000e+00
3.277191100809370816e+00 -3.011827518836182542e+06 0.000000000000000000e+00
2.351139235827247820e+00 -3.012079848722282797e+06 0.000000000000000000e+00
2.833714537700128488e+00 -3.011889924129057676e+06 0.000000000000000000e+00
3.349323700627993894e+00 -3.011828759176088497e+06 0.000000000000000000e+00
3.283490675621969057e+00 -3.011827498230524361e+06 0.000000000000000000e+00
3.159186430738961437e+00 -3.011832459688733332e+06 0.000000000000000000e+00
