# phi_mrg_33 logL logPrior
6.253286411622616114e-02 -3.013069318659157027e+06 0.000000000000000000e+00
4.958257042183511487e-02 -3.013068611199481413e+06 0.000000000000000000e+00
2.554114356056141899e-01 -3.013067526361218654e+06 0.000000000000000000e+00
3.156891026829264923e-01 -3.013062238532457501e+06 0.000000000000000000e+00
3.432907300287757479e-01 -3.013059072752697393e+06 0.000000000000000000e+00
6.009757018738990375e+00 -3.013017976520728320e+06 0.000000000000000000e+00
5.923559594834348019e+00 -3.012994158235666342e+06 0.000000000000000000e+00
7.387864068187075528e-01 -3.012964577108262107e+06 0.000000000000000000e+00
5.791382675774140232e+00 -3.012949848540507257e+06 0.000000000000000000e+00
8.027182165240289713e-01 -3.012941260270278901e+06 0.000000000000000000e+00
8.219736090530294081e-01 -3.012933839221890084e+06 0.000000000000000000e+00
5.720118605080623198e+00 -3.012922280865273438e+06 0.000000000000000000e+00
1.067573688487436723e+00 -3.012824457605795935e+06 0.000000000000000000e+00
5.424405869859082685e+00 -3.012784016410008073e+06 0.000000000000000000e+00
5.371640511189445633e+00 -3.012755899714520201e+06 0.000000000000000000e+00
5.308602429943928058e+00 -3.012721197564756498e+06 0.000000000000000000e+00
1.270936354721602601e+00 -3.012716523428062443e+06 0.000000000000000000e+00
5.293276611790832753e+00 -3.012712592291095294e+06 0.000000000000000000e+00
1.327056716140667891e+00 -3.012684598102662712e+06 0.000000000000000000e+00
5.196951286678987536e+00 -3.012657174353444483e+06 0.000000000000000000e+00
1.452748069346833759e+00 -3.012610563898344524e+06 0.000000000000000000e+00
5.085748748292802546e+00 -3.012590835925355554e+06 0.000000000000000000e+00
1.555154873610030464e+00 -3.012548310544539243e+06 0.000000000000000000e+00
4.930858783522472422e+00 -3.012495707778480835e+06 0.000000000000000000e+00
4.903739933615387514e+00 -3.012478873200244270e+06 0.000000000000000000e+00
1.686036040884308473e+00 -3.012467328774556518e+06 0.000000000000000000e+00
4.783164840192893230e+00 -3.012403934126064181e+06 0.000000000000000000e+00
4.764478079589856030e+00 -3.012392351805491373e+06 0.000000000000000000e+00
4.702122054523996120e+00 -3.012353869635423645e+06 0.000000000000000000e+00
4.681346840671479548e+00 -3.012341123648665845e+06 0.000000000000000000e+00
4.647119556136093621e+00 -3.012320229096002877e+06 0.000000000000000000e+00
4.636977667813734882e+00 -3.012314065800460987e+06 0.000000000000000000e+00
4.558311058440157382e+00 -3.012266780638919678e+06 0.000000000000000000e+00
4.444049167230976316e+00 -3.012200189012298360e+06 0.000000000000000000e+00
2.210195798695977043e+00 -3.012153782475084998e+06 0.000000000000000000e+00
2.218466423170782686e+00 -3.012149267167278565e+06 0.000000000000000000e+00
4.344073787443009316e+00 -3.012144561205067672e+06 0.000000000000000000e+00
2.290020708090915846e+00 -3.012111092190760188e+06 0.000000000000000000e+00
2.298622559328835635e+00 -3.012106615836052224e+06 0.000000000000000000e+00
4.224914657483859415e+00 -3.012082280871160328e+06 0.000000000000000000e+00
4.208064552351839183e+00 -3.012073874588139355e+06 0.000000000000000000e+00
4.206260218024668873e+00 -3.012072980709406547e+06 0.000000000000000000e+00
2.365210830455569013e+00 -3.012072846719988622e+06 0.000000000000000000e+00
4.203651767101732162e+00 -3.012071690633566119e+06 0.000000000000000000e+00
2.386040806909540457e+00 -3.012062619050683454e+06 0.000000000000000000e+00
4.176371416188134233e+00 -3.012058354092780501e+06 0.000000000000000000e+00
4.160910204318852834e+00 -3.012050924158737063e+06 0.000000000000000000e+00
4.138745386648693625e+00 -3.012040439401005395e+06 0.000000000000000000e+00
2.479531889342684092e+00 -3.012018843181946781e+06 0.000000000000000000e+00
2.496858626388076097e+00 -3.012011132391076535e+06 0.000000000000000000e+00
2.512822508053518256e+00 -3.012004144514346030e+06 0.000000000000000000e+00
2.556537698788811319e+00 -3.011985595073713921e+06 0.000000000000000000e+00
4.011098365949639977e+00 -3.011984121260102838e+06 0.000000000000000000e+00
3.995975007137264612e+00 -3.011977933844728395e+06 0.000000000000000000e+00
2.585964702118252134e+00 -3.011973605459244456e+06 0.000000000000000000e+00
3.900748661111154370e+00 -3.011941506505042315e+06 0.000000000000000000e+00
2.677539795907671216e+00 -3.011938975298034027e+06 0.000000000000000000e+00
2.680457625093589868e+00 -3.011937940764356405e+06 0.000000000000000000e+00
