phi_mrg_33	logL
6.25328641162261611441e-02       -3.013069e+06
4.95825704218351148711e-02       -3.013069e+06
2.55411435605614189903e-01       -3.013068e+06
3.15689102682926492349e-01       -3.013062e+06
3.43290730028775747940e-01       -3.013059e+06
6.00975701873899037508e+00       -3.013018e+06
5.92355959483434801882e+00       -3.012994e+06
7.38786406818707552802e-01       -3.012965e+06
5.79138267577414023179e+00       -3.012950e+06
8.02718216524028971293e-01       -3.012941e+06
8.21973609053029408145e-01       -3.012934e+06
5.72011860508062319752e+00       -3.012922e+06
1.06757368848743672274e+00       -3.012824e+06
5.42440586985908268502e+00       -3.012784e+06
5.37164051118944563257e+00       -3.012756e+06
5.30860242994392805826e+00       -3.012721e+06
1.27093635472160260136e+00       -3.012717e+06
5.29327661179083275300e+00       -3.012713e+06
1.32705671614066789132e+00       -3.012685e+06
5.19695128667898753605e+00       -3.012657e+06
1.45274806934683375914e+00       -3.012611e+06
5.08574874829280254573e+00       -3.012591e+06
1.55515487361003046374e+00       -3.012548e+06
4.93085878352247242162e+00       -3.012496e+06
4.90373993361538751401e+00       -3.012479e+06
1.68603604088430847341e+00       -3.012467e+06
4.78316484019289323015e+00       -3.012404e+06
4.76447807958985602994e+00       -3.012392e+06
4.70212205452399611971e+00       -3.012354e+06
4.68134684067147954778e+00       -3.012341e+06
4.64711955613609362103e+00       -3.012320e+06
4.63697766781373488243e+00       -3.012314e+06
4.55831105844015738171e+00       -3.012267e+06
4.44404916723097631603e+00       -3.012200e+06
2.21019579869597704302e+00       -3.012154e+06
2.21846642317078268647e+00       -3.012149e+06
4.34407378744300931572e+00       -3.012145e+06
2.29002070809091584636e+00       -3.012111e+06
2.29862255932883563503e+00       -3.012107e+06
4.22491465748385941481e+00       -3.012082e+06
4.20806455235183918262e+00       -3.012074e+06
4.20626021802466887323e+00       -3.012073e+06
2.36521083045556901325e+00       -3.012073e+06
4.20365176710173216179e+00       -3.012072e+06
2.38604080690954045707e+00       -3.012063e+06
4.17637141618813423349e+00       -3.012058e+06
4.16091020431885283415e+00       -3.012051e+06
4.13874538664869362492e+00       -3.012040e+06
2.47953188934268409227e+00       -3.012019e+06
2.49685862638807609670e+00       -3.012011e+06
2.51282250805351825562e+00       -3.012004e+06
2.55653769878881131916e+00       -3.011986e+06
4.01109836594963997669e+00       -3.011984e+06
3.99597500713726461186e+00       -3.011978e+06
2.58596470211825213426e+00       -3.011974e+06
3.90074866111115436951e+00       -3.011942e+06
2.67753979590767121621e+00       -3.011939e+06
2.68045762509358986847e+00       -3.011938e+06
2.69439770987070392749e+00       -3.011933e+06
2.69583978144143010525e+00       -3.011933e+06
3.86671996835492448596e+00       -3.011930e+06
3.81498605513988575666e+00       -3.011913e+06
2.76329351041779869291e+00       -3.011910e+06
2.77544085458704437031e+00       -3.011907e+06
3.79213065466904719614e+00       -3.011906e+06
2.81254657154300291566e+00       -3.011896e+06
3.71991926095495006876e+00       -3.011885e+06
3.71056107125629086596e+00       -3.011883e+06
2.86611122732786727241e+00       -3.011881e+06
2.87688990886046980222e+00       -3.011879e+06
2.89160716693424557633e+00       -3.011875e+06
3.66909404367201652519e+00       -3.011873e+06
2.90563269390633438505e+00       -3.011872e+06
3.64285278953270941216e+00       -3.011867e+06
2.93057867758299073202e+00       -3.011866e+06
3.64051629131951726137e+00       -3.011866e+06
2.94304782188898794715e+00       -3.011864e+06
2.94352652008206261414e+00       -3.011864e+06
3.61639807896459597458e+00       -3.011861e+06
2.97287874831405307674e+00       -3.011858e+06
2.97879434843147539169e+00       -3.011857e+06
3.59166701922899500588e+00       -3.011856e+06
2.99932349810066067874e+00       -3.011853e+06
3.56967670845833939808e+00       -3.011852e+06
3.00725342723558197733e+00       -3.011851e+06
3.01286381309507289572e+00       -3.011850e+06
