# phi_mrg_33 logL logPrior
2.345081638039758332e+00 -3.012082885587074328e+06 0.000000000000000000e+00
2.723936594978102033e+00 -3.011923045704739634e+06 0.000000000000000000e+00
7.666220766086366822e-01 -3.012954678342278115e+06 0.000000000000000000e+00
7.986076765547556189e-01 -3.012942820950708352e+06 0.000000000000000000e+00
3.234426175526174063e+00 -3.011828311034026556e+06 0.000000000000000000e+00
1.440449500283785156e+00 -3.012617939387938939e+06 0.000000000000000000e+00
2.545355638481531901e+00 -3.011990256925808266e+06 0.000000000000000000e+00
4.941301014867401697e+00 -3.012502181608985644e+06 0.000000000000000000e+00
1.320483157025933885e+00 -3.012688377862368245e+06 0.000000000000000000e+00
4.353730212360707341e+00 -3.012149809991217218e+06 0.000000000000000000e+00
4.046078041241399248e+00 -3.011998837815182284e+06 0.000000000000000000e+00
4.817294071721949678e+00 -3.012425126042897813e+06 0.000000000000000000e+00
3.806914802105871853e-01 -3.013054042565675918e+06 0.000000000000000000e+00
3.829855720086810855e+00 -3.011917359449122567e+06 0.000000000000000000e+00
4.866704724973446083e+00 -3.012455850316037424e+06 0.000000000000000000e+00
4.036318095472306133e+00 -3.011994675401673652e+06 0.000000000000000000e+00
4.254028350038144168e+00 -3.012097049562522210e+06 0.000000000000000000e+00
3.674435625031790664e+00 -3.011873924114862923e+06 0.000000000000000000e+00
2.088213052045762019e+00 -3.012222559797045775e+06 0.000000000000000000e+00
6.052905305965946781e+00 -3.013028323674536310e+06 0.000000000000000000e+00
1.306082590720516912e+00 -3.012696621797220781e+06 0.000000000000000000e+00
9.666264026154978151e-01 -3.012872549321489409e+06 0.000000000000000000e+00
3.247951293347082213e-01 -3.013061245603134856e+06 0.000000000000000000e+00
5.285717908312873803e+00 -3.012708325278932229e+06 0.000000000000000000e+00
5.271395228283290990e+00 -3.012700199523872696e+06 0.000000000000000000e+00
7.010243963117397392e-01 -3.012977366433436982e+06 0.000000000000000000e+00
2.829372966787059962e+00 -3.011891108478347305e+06 0.000000000000000000e+00
3.936315320616389002e+00 -3.011954590289241169e+06 0.000000000000000000e+00
4.472584906665527882e+00 -3.012216548311511986e+06 0.000000000000000000e+00
5.235830230030456889e+00 -3.012679803398470394e+06 0.000000000000000000e+00
2.578475488750349598e+00 -3.011976618152400944e+06 0.000000000000000000e+00
4.744523392911411008e+00 -3.012380005715949461e+06 0.000000000000000000e+00
